Object ID,FIPS_CODE,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OCR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED
88,17031061800,1340,27.8,12.5,17.97153025,2.7,78.2,4.6
89,17031061901,3597,32,10.2,21.35048232,5.3,84.7,3.3
90,17031061902,4653,37.6,11.9,14.53488372,10.6,72.7,7.8
91,17031062000,2981,28.7,5.8,17.72771792,6,85.7,2.2
92,17031062100,3772,28.7,14.8,11.36363636,4.7,80.4,4.5
93,17031062200,2719,29.3,6.7,17.07317073,5.9,86.9,2.3
94,17031062300,1602,30.8,4.2,7.788161994,1.2,91.8,2.6
95,17031062400,1576,33.6,3.7,30.37974684,5.3,83.9,3.3
96,17031062500,1575,31.3,13,17.10144928,2.1,87.7,3
97,17031062600,2370,33,1.6,11.93181818,1.3,88.6,4.6
98,17031062700,2885,31.8,4.3,8.588957055,3.4,81.6,1.2
99,17031062800,3625,29.3,5.1,14.03286979,3.2,86.4,2
100,17031062900,3818,29.3,7.4,13.15298507,2.8,85.4,2.2
101,17031063000,3448,29.7,8.1,10.40564374,3.4,85.8,2.4
102,17031063100,2310,30.2,8,13.25714286,5.9,82.9,3.8
103,17031063200,6897,33.4,8.4,14.91920331,4.2,79.3,4.5
104,17031063301,2768,32,15.3,9.941897999,5.8,74.7,0.6
105,17031063302,3781,31.5,7.3,12.9898014,3.6,87.3,0.3
106,17031063303,1223,66.8,5.9,38.9298893,10.4,72.1,4.9
107,17031063400,2318,29.2,5.7,8.020050125,2.1,86.8,1.2
108,17031070101,3878,32.4,15.9,26.14001285,6.5,84,5.8
109,17031070102,2920,30.5,6.6,13.84615385,3,81.5,1.2
110,17031070103,1621,27.2,10.1,16.42066421,1.1,80.9,2.9
111,17031070200,4283,29.7,9.6,16.34541249,6.4,81.4,2.6
112,17031070300,3575,28.2,7.7,12.98129813,1,91.4,2.7
113,17031070400,3237,33.3,10.2,11.23470523,10.3,74.1,0
114,17031070500,3421,34.1,4.7,23.73225152,13.1,75.2,4.1
115,17031070600,3257,30.2,4.7,20.32520325,1.2,92.9,2.5
116,17031070700,4272,29.3,16.7,7.451923077,9.3,77.5,2.5
117,17031071000,4604,21.2,9.5,14.88933602,4.2,91,6.5
118,17031071100,3180,26.5,10.1,25.6684492,1.4,92.9,2.8
119,17031071200,2024,30.5,8.9,7.991360691,7.3,80.2,2
120,17031071300,3982,29.9,8.8,16.87631027,0,94.6,3.2
121,17031071400,4745,35.4,16.4,15.86452763,6,81.5,2.7
122,17031071500,6065,32.2,4.7,10.9898675,4.7,89.6,1.6
123,17031071600,1832,35.5,8.8,0,7.5,78.8,3
124,17031071700,1729,34.7,2.4,8.582089552,6.5,80.3,2.8
125,17031071800,2741,32.9,4.6,3.118040089,6.8,82.9,0.6
126,17031080100,6795,37.4,8.1,7.551707552,2.3,83.6,5.2
127,17031080201,3141,44.8,1.2,8.102345416,4.1,79.5,4.9
128,17031080202,3302,34.3,9.5,15.57296768,2.4,88.8,4
129,17031080300,4770,31.4,5.2,10.6918239,2.4,88.4,2.3
130,17031080400,4142,27.3,23,12.58741259,13.1,50,9.9
