GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,COMMUNITY_AREA_GROUP
17031050500,6069,34.1,3,12.5,5.5,80.2,2.8,5,NORTH CENTER,North
17031050600,2177,35.4,8.1,11.8,6.9,82.2,3.9,5,NORTH CENTER,North
17031050700,1610,32.7,3.5,22.7,5.6,81.4,1.3,5,NORTH CENTER,North
17031050800,1457,33.6,4.4,4.3,6.9,78.8,6.2,5,NORTH CENTER,North
17031050900,1302,34,4.8,7.3,7.9,66.8,3.9,5,NORTH CENTER,North
17031051000,1718,33.3,5.4,19,7.1,71.5,1,5,NORTH CENTER,North
17031051100,1654,32.9,3.3,4,5.2,79.2,0.5,5,NORTH CENTER,North
17031051200,1594,31.8,4.6,8.4,1.2,84.1,2.1,5,NORTH CENTER,North
17031051300,2826,35.3,2.4,12.7,6.3,82.8,1.3,5,NORTH CENTER,North
17031051400,1796,32.6,7.9,18,8.3,73.4,3.3,5,NORTH CENTER,North
17031060100,2852,34.8,6.4,11.3,5.4,76.7,1.4,6,LAKE VIEW,North
17031060200,2324,31.7,15.3,18.7,7.3,74.2,2.9,6,LAKE VIEW,North
17031060300,3214,30.7,1.1,5.5,6.5,79.7,1.7,6,LAKE VIEW,North
17031060400,3779,29.5,10.7,9.3,6.6,86.1,3.9,6,LAKE VIEW,North
17031060500,1295,44.8,22.6,10.7,19.1,50,3.2,6,LAKE VIEW,North
17031060800,5048,34.3,4.9,11.3,4.7,80.9,4.6,6,LAKE VIEW,North
17031060900,7114,34.8,8.9,12.9,7.5,69.6,1.9,6,LAKE VIEW,North
17031061000,2208,29.9,14.4,16.3,4.3,86.7,2.6,6,LAKE VIEW,North
17031061100,1379,27.2,6.7,4,3.3,87.6,0.5,6,LAKE VIEW,North
17031061200,1961,27.3,8.2,10.6,2.6,87,1,6,LAKE VIEW,North
17031061500,1888,29.2,6.6,6.8,3,79.8,2.7,6,LAKE VIEW,North
17031061800,1340,27.8,12.5,18,2.7,78.2,4.6,6,LAKE VIEW,North
17031061901,3597,32,10.2,21.4,5.3,84.7,3.3,6,LAKE VIEW,North
